coh	D	p	lam	q
491557543.3961151	501	4	0.5	0
445123634.1554548	501	5	0.5	0
362205033.0757895	501	6	0.5	0
291957660.0189478	501	7	0.5	0
237694395.1183824	501	8	0.5	0
196240218.5386034	501	9	0.5	0
164294680.9989576	501	10	0.5	0
139329514.0292268	501	11	0.5	0
119526997.6553572	501	12	0.5	0
103593848.5237765	501	13	0.5	0
90603942.33767672	501	14	0.5	0
79885790.29410206	501	15	0.5	0
70945523.93024205	501	16	0.5	0
63414616.74202071	501	17	0.5	0
57014204.9834838	501	18	0.5	0
51530478.55854369	501	19	0.5	0
46797480.26158147	501	20	0.5	0
42684921.52258562	501	21	0.5	0
39089432.51736767	501	22	0.5	0
35928196.80734061	501	23	0.5	0
33134262.9294451	501	24	0.5	0
30653050.06170557	501	25	0.5	0
28439714.93265305	501	26	0.5	0
26457147.3677212	501	27	0.5	0
24674428.81034208	501	28	0.5	0
23065636.79322797	501	29	0.5	0
21608909.23678606	501	30	0.5	0
20285706.52371871	501	31	0.5	0
19080224.77373554	501	32	0.5	0
17978926.54978048	501	33	0.5	0
16970162.36316033	501	34	0.5	0
16043863.95328405	501	35	0.5	0
15191293.99490668	501	36	0.5	0
14404840.74845559	501	37	0.5	0
13677848.66216379	501	38	0.5	0
13004478.04229462	501	39	0.5	0
12379587.99723632	501	40	0.5	0
11798638.60893323	501	41	0.5	0
11257608.65246152	501	42	0.5	0
10752926.13002109	501	43	0.5	0
10281409.446281	501	44	0.5	0
9840217.344587808	501	45	0.5	0
9426806.172204928	501	46	0.5	0
9038893.286597421	501	47	0.5	0
8674425.580498327	501	48	0.5	0
8331552.357142763	501	49	0.5	0
8008601.861508463	501	50	0.5	0
939706859.0029066	501	4	0	-1
888611393.4772947	501	5	0	-1
724388185.8554424	501	6	0	-1
583977095.4859958	501	7	0	-1
475443528.6539722	501	8	0	-1
392522138.6516898	501	9	0	-1
328620923.1459482	501	10	0	-1
278683338.8875978	501	11	0	-1
239073123.4650389	501	12	0	-1
207203051.7385885	501	13	0	-1
181220432.5240543	501	14	0	-1
159781997.0231729	501	15	0	-1
141899814.7545713	501	16	0	-1
126836701.3765287	501	17	0	-1
114034839.033022	501	18	0	-1
103066544.1539819	501	19	0	-1
93599856.31779531	501	20	0	-1
85374165.55821408	501	21	0	-1
78182706.85380754	501	22	0	-1
71859829.03959922	501	23	0	-1
66271614.81531085	501	24	0	-1
61308891.34976038	501	25	0	-1
56881963.7758543	501	26	0	-1
52916604.60638126	501	27	0	-1
49350971.36266673	501	28	0	-1
46133214.80577289	501	29	0	-1
43219607.16012233	501	30	0	-1
40573066.13259329	501	31	0	-1
38161981.74789985	501	32	0	-1
35959276.99970978	501	33	0	-1
33941651.26849935	501	34	0	-1
32088966.64348871	501	35	0	-1
30383747.21681605	501	36	0	-1
28810768.58060285	501	37	0	-1
27356718.67745669	501	38	0	-1
26009917.4517768	501	39	0	-1
24760082.46038194	501	40	0	-1
23598133.30465415	501	41	0	-1
22516027.05825897	501	42	0	-1
21506619.30956027	501	43	0	-1
20563546.49846323	501	44	0	-1
19681125.80346952	501	45	0	-1
18854269.61908069	501	46	0	-1
18078412.40936102	501	47	0	-1
17349447.75171829	501	48	0	-1
16663674.04221003	501	49	0	-1
16017747.6047585	501	50	0	-1
245010819.5742395	501	4	0	0
222468313.5953154	501	5	0	0
181077003.9440167	501	6	0	0
145965257.5142268	501	7	0	0
118837969.1016506	501	8	0	0
98113127.38467965	501	9	0	0
82141736.03925906	501	10	0	0
69660084.37203722	501	11	0	0
59759497.7808355	501	12	0	0
51793430.03174002	501	13	0	0
45298872.5347041	501	14	0	0
39940113.52322084	501	15	0	0
35470240.06857666	501	16	0	0
31705002.75217927	501	17	0	0
28504979.81842059	501	18	0	0
25763273.16103283	501	19	0	0
23396909.55731297	501	20	0	0
21340748.60138036	501	21	0	0
19543108.38970594	501	22	0	0
17962583.08695998	501	23	0	0
16565698.79669758	501	24	0	0
15325166.59492753	501	25	0	0
14218566.09025157	501	26	0	0
13227343.14364643	501	27	0	0
12336039.30915638	501	28	0	0
11531694.03292521	501	29	0	0
10803376.85556417	501	30	0	0
10141818.42331272	501	31	0	0
9539117.242697006	501	32	0	0
8988504.916368077	501	33	0	0
8484157.020528022	501	34	0	0
8021039.687236403	501	35	0	0
7594784.476599167	501	36	0	0
7201585.717928771	501	37	0	0
6838115.817074605	501	38	0	0
6501455.071752902	501	39	0	0
6189033.182688588	501	40	0	0
5898580.309214037	501	41	0	0
5628085.944450469	501	42	0	0
5375764.189039744	501	43	0	0
5140024.329624007	501	44	0	0
4919445.816079962	501	45	0	0
4712756.894487109	501	46	0	0
4518816.304740855	501	47	0	0
4336597.553044921	501	48	0	0
4165175.339604337	501	49	0	0
4003713.837058621	501	50	0	0
